load_addr,years_use
서울특별시 강남구 영동대로85길 17-7,18.0
서울특별시 강남구 일원로 120,28.0
서울특별시 강남구 일원로 127,29.0
서울특별시 강남구 일원로14길 25,28.0
서울특별시 강남구 자곡로 101,8.0
서울특별시 강남구 자곡로 175,8.0
서울특별시 강남구 자곡로 21,10.0
서울특별시 강남구 자곡로 260,8.0
서울특별시 강남구 자곡로3길 45,8.0
서울특별시 강남구 테헤란로 423,24.0
서울특별시 강남구 테헤란로 428,18.0
서울특별시 강남구 테헤란로10길 10,18.0
서울특별시 강남구 테헤란로10길 25,17.0
서울특별시 강남구 테헤란로10길 27,17.0
서울특별시 강남구 테헤란로10길 42,14.0
서울특별시 강남구 테헤란로13길 31-7,16.0
서울특별시 강남구 테헤란로13길 35-6,17.0
서울특별시 강남구 테헤란로13길 45,19.0
서울특별시 강남구 테헤란로14길 13,8.0
서울특별시 강남구 테헤란로14길 42,18.0
서울특별시 강남구 테헤란로21길 18,20.0
서울특별시 강남구 테헤란로25길 58,19.0
서울특별시 강남구 테헤란로28길 47,26.0
서울특별시 강남구 테헤란로48길 10,18.0
서울특별시 강남구 테헤란로4길 32,18.0
서울특별시 강남구 테헤란로4길 46,15.0
서울특별시 강남구 테헤란로52길 16,8.0
서울특별시 강남구 테헤란로5길 36,20.0
서울특별시 강남구 테헤란로63길 12,18.0
서울특별시 강남구 테헤란로64길 13,16.0
서울특별시 강남구 테헤란로64길 9,18.0
서울특별시 강남구 테헤란로77길 22,25.0
서울특별시 강남구 테헤란로77길 26,18.0
서울특별시 강남구 테헤란로77길 27,18.0
서울특별시 강남구 테헤란로77길 31,17.0
서울특별시 강남구 테헤란로77길 8,18.0
서울특별시 강남구 테헤란로79길 31,17.0
서울특별시 강남구 테헤란로79길 42,18.0
서울특별시 강남구 학동로 165,18.0
서울특별시 강남구 학동로 338,15.0
서울특별시 강남구 학동로 405,23.0
서울특별시 강남구 학동로 408,25.0
서울특별시 강남구 학동로 409,23.0
서울특별시 강남구 학동로 410,20.0
서울특별시 강남구 학동로 412,26.0
서울특별시 강남구 학동로 420,26.0
서울특별시 강남구 학동로 432,22.0
서울특별시 강남구 학동로 437-5,18.0
서울특별시 강남구 학동로 513,38.0
서울특별시 강남구 학동로 609,42.0
서울특별시 강남구 학동로105길 30,25.0
서울특별시 강남구 학동로11길 13,17.0
서울특별시 강남구 학동로21길 23,19.0
서울특별시 강남구 학동로30길 21,20.0
서울특별시 강남구 학동로31길 29,24.0
서울특별시 강남구 학동로38길 22,15.0
서울특별시 강남구 학동로42길 60,25.0
서울특별시 강남구 학동로43길 30,18.0
서울특별시 강남구 학동로43길 38,13.0
서울특별시 강남구 학동로46길 32,10.0
서울특별시 강남구 학동로46길 38,18.0
서울특별시 강남구 학동로5길 17,18.0
서울특별시 강남구 학동로5길 20,19.0
서울특별시 강남구 학동로5길 22,19.0
서울특별시 강남구 학동로63길 13,19.0
서울특별시 강남구 학동로63길 14,17.0
서울특별시 강남구 학동로64길 14,23.0
서울특별시 강남구 학동로64길 7,24.0
서울특별시 강남구 학동로68길 16,3.0
서울특별시 강남구 학동로68길 29,14.0
서울특별시 강남구 학동로68길 30,18.0
서울특별시 강남구 학동로73길 13,7.0
서울특별시 강남구 학동로73길 33,11.0
서울특별시 강남구 학동로77길 27,20.0
서울특별시 강남구 학동로77길 49,23.0
서울특별시 강남구 학동로77길 5,18.0
서울특별시 강남구 학동로7길 6,18.0
서울특별시 강남구 학동로81길 28,3.0
서울특별시 강남구 학동로81길 9,4.0
서울특별시 강남구 학동로82길 27,16.0
서울특별시 강남구 학동로82길 29,14.0
서울특별시 강남구 학동로82길 6,19.0
서울특별시 강남구 학동로87길 7,39.0
서울특별시 강남구 학동로87길 9,38.0
서울특별시 강남구 학동로88길 5,38.0
서울특별시 강남구 학동로97길 31,16.0
서울특별시 강남구 학동로97길 51,5.0
서울특별시 강남구 학동로9길 15,19.0
서울특별시 강남구 학동로9길 21,19.0
서울특별시 강남구 헌릉로571길 20,9.0
서울특별시 강남구 헌릉로590길 10,11.0
서울특별시 강남구 헌릉로590길 100,11.0
서울특별시 강남구 헌릉로590길 11,11.0
서울특별시 강남구 헌릉로590길 63,11.0
서울특별시 강동구 강동대로 143,27.0
서울특별시 강동구 강동대로 143-16,23.0
서울특별시 강동구 강동대로 143-40,26.0
서울특별시 강동구 강동대로 143-48,26.0
서울특별시 강동구 강동대로 155,23.0
