,case_year,gu,dong,dong0,bunji,floor_cat,build_area_grade,land,price,lowest,hammer,year,date_ym,low_per,ham_per,comment_val,result,dong1,"('brand_name', 0)","('addr_lat', 0)","('addr_lng', 0)"
92,2020,관악구,남현동,서울특별시 관악구 남현동,1066-13,4~7층,중형,1,602000000,602000000,618263800.0,2021,202105,100,103.0,1,1,서울특별시 관악구 남현동 1066-13,래미안라센트아파트,37.599480756187695,127.03883000318879
93,2020,송파구,방이동,서울특별시 송파구 방이동,51,13~20층,소형,1,205000000,164000000,177800000.0,2021,202105,80,87.0,0,1,서울특별시 송파구 방이동 51,래미안라센트아파트,37.599480756187695,127.03883000318879
94,2020,송파구,방이동,서울특별시 송파구 방이동,89,4~7층,초대형,1,2470000000,2470000000,2611000000.0,2021,202105,100,106.0,1,1,서울특별시 송파구 방이동 89,래미안라센트아파트,37.599480756187695,127.03883000318879
95,2019,서대문구,천연동,서울특별시 서대문구 천연동,145,8~12층,소형,1,580000000,580000000,750009999.0,2021,202104,100,129.0,0,1,서울특별시 서대문구 천연동 145,래미안라센트아파트,37.599480756187695,127.03883000318879
96,2020,은평구,대조동,서울특별시 은평구 대조동,6-19,지하~3층,소형,1,241000000,192800000,207770000.0,2021,202104,80,86.0,1,1,서울특별시 은평구 대조동 6-19,래미안라센트아파트,37.599480756187695,127.03883000318879
97,2020,동작구,대방동,서울특별시 동작구 대방동,500,13~20층,소형,1,503000000,402400000,635000000.0,2021,202104,80,126.0,1,1,서울특별시 동작구 대방동 500,래미안라센트아파트,37.599480756187695,127.03883000318879
98,2020,강서구,방화동,서울특별시 강서구 방화동,852,8~12층,소형,1,461000000,461000000,588899001.0,2021,202104,100,128.0,1,1,서울특별시 강서구 방화동 852,래미안라센트아파트,37.599480756187695,127.03883000318879
99,2020,영등포구,양평동3가,서울특별시 영등포구 양평동3가,90-1,13~20층,대형,1,950000000,950000000,1036100000.0,2021,202104,100,109.0,1,1,서울특별시 영등포구 양평동3가 90-1,래미안라센트아파트,37.599480756187695,127.03883000318879
100,2020,용산구,이촌동,서울특별시 용산구 이촌동,193-5,,소형,0,120000000,120000000,150000000.0,2021,202104,100,125.0,1,1,서울특별시 용산구 이촌동 193-5,래미안라센트아파트,37.599480756187695,127.03883000318879
101,2020,서초구,방배동,서울특별시 서초구 방배동,1008-2,13~20층,소형,1,600000000,600000000,637887000.0,2021,202104,100,106.0,1,1,서울특별시 서초구 방배동 1008-2,래미안라센트아파트,37.599480756187695,127.03883000318879
