office,num,case_year,cat,addr,load_addr,dong,bunji,detail_dong,detail_ho,floor,brand,build_area,land_area,price,lowest,hammer,date,year,month,day,status,low_per,ham_per,comment,floor_cat,build_area_grade,land,date_ym,result,comment_val,gu,dong0,addr_api,Unnamed: 0,addr_name,brand_name,addr_lat,addr_lng
서울북부2계,2019-102574,2019,아파트,"서울특별시 강북구 번동 118-15, 9층902호 (번동,꿈의숲 수림채아파트)",,번동,118-15,0,902호,,꿈의숲수림채아파트,112.29,45.16,395000000,395000000,398888000.0,2020-02-10,2020,2,10,매각,100,101.0,,,대형,1,202002,1,0,강북구,서울특별시 강북구 번동,서울특별시 강북구 번동 118-15,192,서울특별시 강북구 번동 118-15,성금수림채아파트,37.62406820346464,127.04539701381348
서울북부1계,2019-105825,2019,아파트,"서울특별시 노원구 상계동 670, 908동 12층1211호 (상계동,상계주공아파트)",,상계동,670,908동,1211호,12.0,상계주공아파트,45.9,28.54,293000000,293000000,315000000.0,2020-02-10,2020,2,10,배당종결,100,107.5085324232082,,8~12층,소형,1,202002,1,0,노원구,서울특별시 노원구 상계동,서울특별시 노원구 상계동 670,739,서울특별시 노원구 상계동 670,상계주공9단지아파트,37.66333802273279,127.06049926572746
서울중앙2계,2019-1986,2019,아파트,"서울특별시 강남구 역삼동 828-28, 2층208호 (역삼동,역삼동이지소울리더)",,역삼동,828-28,역삼동,208호,2.0,역삼동이지소울리더,27.67,14.403,360000000,288000000,325111110.0,2020-02-06,2020,2,6,매각,80,90.0,,지하~3층,소형,1,202002,1,0,강남구,서울특별시 강남구 역삼동,서울특별시 강남구 역삼동 828-28,72,서울특별시 강남구 역삼동 828-28,,,
서울중앙2계,2019-100463,2019,아파트,"서울특별시 종로구 평창동 66-1, 2층201호 (평창동,엘리시아)",,평창동,66-1,0,201호,2.0,엘리시아,200.19,115.21,1670000000,855040000,915115290.0,2020-02-06,2020,2,6,배당종결,51,54.79732275449102,,지하~3층,초대형,1,202002,1,0,종로구,서울특별시 종로구 평창동,서울특별시 종로구 평창동 66-1,549,서울특별시 종로구 평창동 66-1,엘리시아아파트,37.60968749956977,126.97592188163308
서울중앙2계,2019-102063,2019,아파트,"서울특별시 동작구 대방동 500, 101동 18층1801호 (대방동,성원아파트)",,대방동,500,101동,1801호,18.0,성원아파트,84.32,27.59,867000000,867000000,868000000.0,2020-02-06,2020,2,6,매각,100,100.0,,13~20층,중형,1,202002,1,0,동작구,서울특별시 동작구 대방동,서울특별시 동작구 대방동 500,427,서울특별시 동작구 대방동 500,성원아파트,37.50959403999071,126.92615886652068
서울중앙4계,2019-4138,2019,아파트,"서울특별시 관악구 봉천동 1713, 302동 3층301호 (봉천동,낙성대현대홈타운)",,봉천동,1713,302동,301호,3.0,낙성대현대홈타운,114.919,47.92,825000000,660000000,815159000.0,2020-02-05,2020,2,5,매각,80,99.0,,지하~3층,대형,1,202002,1,0,관악구,서울특별시 관악구 봉천동,서울특별시 관악구 봉천동 1713,498,서울특별시 관악구 봉천동 1713,낙성대현대홈타운아파트,37.48082340634545,126.96348138998914
서울중앙8계,2019-100951,2019,아파트,"서울특별시 강남구 도곡동 467-17, 이동 34층3402호 (도곡동,타워팰리스)",,도곡동,467-17,이동,3402호,34.0,타워팰리스,97.92,13.99,1530000000,979200000,1170380000.0,2020-01-22,2020,1,22,매각,64,76.0,지분매각,21층 이상,대형,1,202001,1,1,강남구,서울특별시 강남구 도곡동,서울특별시 강남구 도곡동 467-17,471,서울특별시 강남구 도곡동 467-17,타워팰리스2차오피스텔,37.48945382790669,127.05388527939016
서울중앙8계,2019-101855,2019,아파트,"서울특별시 관악구 봉천동 1706, 102동 5층501호 (봉천동,봉천우성아파트)",,봉천동,1706,102동,501호,5.0,봉천우성아파트,84.96,28.02,697000000,557600000,685670000.0,2020-01-22,2020,1,22,배당종결,80,98.37446197991392,,4~7층,중형,1,202001,1,0,관악구,서울특별시 관악구 봉천동,서울특별시 관악구 봉천동 1706,624,서울특별시 관악구 봉천동 1706,관악우성아파트,37.48538833941678,126.95926400852284
서울서부5계,2019-2045,2019,아파트,"서울특별시 마포구 도화동 550, 110동 6층603호 (도화동,삼성아파트)",,도화동,550,110동,603호,6.0,삼성아파트,114.74,49.55,1270000000,1016000000,1301000000.0,2020-01-21,2020,1,21,배당종결,80,102.44094488188978,대항력있는임차인,4~7층,대형,1,202001,1,1,마포구,서울특별시 마포구 도화동,서울특별시 마포구 도화동 550,95,서울특별시 마포구 도화동 550,마포삼성아파트,37.5400830740148,126.95032143595203
서울서부7계,2019-2434,2019,아파트,"서울특별시 마포구 서교동 490, 아파트동 21층102동2101호 (서교동,메세나폴리스)",,서교동,490,아파트동,2101호,21.0,메세나폴리스,142.034,26.39,1730000000,1384000000,1501000000.0,2020-01-21,2020,1,21,매각,80,87.0,법정지상권,21층 이상,초대형,1,202001,1,1,마포구,서울특별시 마포구 서교동,서울특별시 마포구 서교동 490,642,서울특별시 마포구 서교동 490,메세나폴리스아파트,37.55093530307955,126.91378068787876
서울서부7계,2019-52354,2019,아파트,"서울특별시 은평구 신사동 155-1, 1동 2층213호 (신사동,신성아파트)",,신사동,155-1,1동,213호,1.0,신성아파트,61.32,38.04,252000000,201600000,259999999.0,2020-01-21,2020,1,21,매각,80,103.0,,지하~3층,중형,1,202001,1,0,은평구,서울특별시 은평구 신사동,서울특별시 은평구 신사동 155-1,738,서울특별시 은평구 신사동 155-1,신성아파트,37.58977235396887,126.90511267017244
